lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
-9.221938,-7.4455667,-1.9776679,0.51418066,-0.8289197,-0.40911496
-9.080762,-9.942777,-3.7013974,-0.11079242,-1.2748382,-0.100637086
-7.050751,-10.565209,1.7691933,-0.40155572,-1.947381,0.2053974
-9.21476,-10.653744,6.8709903,1.1720632,-0.9254336,-0.013896775
-10.663315,-11.029716,5.9327044,2.4212458,-0.9254336,0.422859
-9.923634,-10.275378,-1.096511,3.789009,-2.392078,1.1528978
-7.562815,-12.5019,-7.24457,2.5550213,-3.497177,2.2316542
-3.6607196,-12.987942,-7.5460653,1.1067026,-3.4702232,2.2023335
-1.5394822,-18.47289,-2.14038,0.704765,-1.9980813,1.1480111
-1.8170497,-21.477377,-0.23928227,1.8720942,1.1154834,0.32634515
-3.3493536,-15.995122,-4.1440697,2.7504926,-0.6516977,0.97758466
-1.556232,-7.19432,-6.7465634,0.95582324,-2.7824092,0.5444176
-4.699504,-5.4753766,-3.3517463,-0.0704765,-2.2277598,0.25731942
-6.215058,-3.7013974,-2.990131,0.49402273,-1.7873391,0.46073154
-5.2692947,-3.6583266,-3.7468612,0.2814479,-2.0701613,0.8383115
-1.8577276,-4.067499,-4.9462633,-0.10101887,-2.271741,0.7007945
-0.47168517,-3.4666018,-5.144868,-0.5854207,-2.4391131,0.46989426
1.9271195,-1.8194425,-3.775575,-1.0350044,-2.1251376,0.19501299
3.7707894,-1.5658033,-4.0292144,-1.5652198,-1.6444008,-0.06398625
3.9311085,-2.4586253,-4.5320063,-2.3697057,-0.7952468,-0.1525591
4.872086,-6.492924,1.5777674,-2.4986708,-0.33588964,-0.41339087
-5.1472607,-19.887646,42.002113,0.5166241,-2.5008087,-0.25395975
-16.057335,-21.075384,1.8361923,-1.3666943,-0.72377765,2.119869
-5.266902,-13.847564,8.412866,-0.8383115,-1.6486768,0.54625016
-0.37357944,-6.1791654,2.6479573,-0.25861746,-0.2436517,-0.25029466
1.1419746,-4.658826,-0.22971097,-0.9146674,0.437443,0.05451812
1.4964114,-8.872586,2.7580273,-1.0576056,1.533303,0.04718795
-4.3262234,-16.155441,-1.4294125,0.23616882,2.2932732,0.370937
-7.428817,-18.925432,-0.2727818,0.6204681,1.7165571,1.0472213
-2.7723842,-10.445568,-6.7585278,1.1378558,1.4447302,-0.49035764
-1.9055841,-6.2748785,-8.7577305,0.15859123,0.82594186,-1.0932639
-0.8859426,-4.536792,-7.912466,-0.45286688,0.31527355,-0.87030464
